Identity,text,header,type_of_tweet,screen_and_username,num_followers,num_friends,num_retweets,tweet_language,rumour_identification,,,
2617,"Statement from St. Louis County Police Officers Assoc., saying @GovJayNixon put officers lives in danger. #Ferguson http://t.co/plnDpI5uRE",ferguson,1,Alex Heuer/alexheuer,1571,1463,465,en,1,,,
5075,"Australian radio reporting that #SydneySiege gunman not only wants to talk to the Prime Minister, but he wants to talk to him live on radio.",sydneysiege,1,Jack Moore/JFXM,17860,6864,175,en,0,,,
1293,#CharlieHebdo: Hundreds of Muslims gather outside the Grande Mosquee of Strasbourg to observe a minute of silence http://t.co/LeC7StybFn,charliehebdo,1,AFP Photo Department/AFPphoto,36919,242,815,en,1,,,
5251,Authorities have confirmed that #sydneysiege is now over after police storm the building: http://t.co/IrteddYrbH http://t.co/w8i1njo5xH,sydneysiege,1,Yahoo UK News/YahooNewsUK,36137,926,117,en,1,,,
4850,#BREAKING One man has been arrested and people are being evacuated from the building #sydneysiege #martinplace,sydneysiege,1,ABC News 24/ABCNews24,169840,1421,264,en,0,,,
3288,"France's transport minister says distress signal was sent from Germanwings plane - @patthomas, @europe1 http://t.co/by471NAzFg",germanwings-crash,1,Breaking News/BreakingNews,7411776,522,156,en,0,,,
2484,"More startling statistics about the segregated population of #Ferguson, Mo. http://t.co/uYrldQHoj7 http://t.co/vgxuLMYDhz",ferguson,1,ProPublica/ProPublica,291784,194,133,en,1,,,
4290,"CityNews airing 4 newscasts dedicated to #Ottawashooting. 5-7pm, 8-9pm &amp; 11pm ET
WATCH LIVE: http://t.co/SJrTDWJFhl http://t.co/SuOksfRGqx",ottawashooting,1,CityNews Toronto/CityNews,152698,1981,124,en,1,,,
4182,"Ottawa police, Twitter users urging those on the scene to STOP tweeting police officer locations. #Ottawa",ottawashooting,1,Nicole Bogart/nlynnbogart,1641,790,126,en,1,,,
368,"#CharlieHebdo Attack UPDATE: Cartoonists Cabu, Charb, Wolinski die - report http://t.co/3Jsosc7yl3 http://t.co/3H1ZbykE0D",charliehebdo,1,RT/RT_com,842277,460,177,en,0,,,
3396,"#Germanwings ""sorry to confirm"" 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/inQlKOqZup",germanwings-crash,1,BBC Breaking News/BBCBreaking,14137172,3,1566,en,0,,,
1151,". 
                 Take a stand and RT:

                  I am #CharlieHebdo
                  I am #CharlieHebdo http://t.co/OpdN8c5VQo",charliehebdo,1,Tarek Fatah  ਤਾਰਿਕ /TarekFatah,53744,1517,873,en,1,,,
3733,Soldier shot at National War Memorial in Ottawa http://t.co/9jLwNdsKp2 http://t.co/0a3tmPyUw9,ottawashooting,1,CP24/CP24,640000,367,316,en,0,,,
3274,148 people were on board the #Germanwings plane which crashed in the French Alps. Here's what we know so far http://t.co/5sZVPg9XFR,germanwings-crash,1,Sky News/SkyNews,1963401,17,113,en,0,,,
2195,Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/zmzd813Jzb,ferguson,1,Talking Points Memo/TPM,162748,521,168,en,0,,,
